about half an hour

{'loss': '3.618', 'grad_norm': '0.9819', 'learning_rate': '0.0002', 'epoch': '0.02286'}
{'loss': '2.619', 'grad_norm': '0.8209', 'learning_rate': '2.326e-05', 'epoch': '0.9029'}
{'loss': '3.013', 'grad_norm': '0.9557', 'learning_rate': '2.248e-05', 'epoch': '0.9067'}
{'loss': '2.97', 'grad_norm': '1.004', 'learning_rate': '2.171e-05', 'epoch': '0.9105'}
{'loss': '2.816', 'grad_norm': '0.932', 'learning_rate': '2.093e-05', 'epoch': '0.9143'}
{'eval_loss': '2.757', 'eval_runtime': '50.29', 'eval_samples_per_second': '10.46', 'eval_steps_per_second': '2.625', 'epoch': '0.9143'}
{'loss': '2.487', 'grad_norm': '0.825', 'learning_rate': '2.016e-05', 'epoch': '0.9181'}
{'loss': '2.721', 'grad_norm': '0.8121', 'learning_rate': '1.938e-05', 'epoch': '0.9219'}
{'loss': '2.43', 'grad_norm': '0.9482', 'learning_rate': '1.86e-05', 'epoch': '0.9257'}
{'loss': '2.846', 'grad_norm': '1.194', 'learning_rate': '1.783e-05', 'epoch': '0.9295'}
{'loss': '2.436', 'grad_norm': '0.7766', 'learning_rate': '1.705e-05', 'epoch': '0.9333'}
{'loss': '3.415', 'grad_norm': '0.9945', 'learning_rate': '1.628e-05', 'epoch': '0.9371'}
{'loss': '2.723', 'grad_norm': '0.7673', 'learning_rate': '1.55e-05', 'epoch': '0.941'}
{'loss': '2.787', 'grad_norm': '0.99', 'learning_rate': '1.473e-05', 'epoch': '0.9448'}
{'loss': '2.788', 'grad_norm': '0.9558', 'learning_rate': '1.395e-05', 'epoch': '0.9486'}
{'loss': '2.878', 'grad_norm': '0.8205', 'learning_rate': '1.318e-05', 'epoch': '0.9524'}
{'eval_loss': '2.756', 'eval_runtime': '50.25', 'eval_samples_per_second': '10.47', 'eval_steps_per_second': '2.627', 'epoch': '0.9524'}
{'loss': '2.595', 'grad_norm': '0.8801', 'learning_rate': '1.24e-05', 'epoch': '0.9562'}
{'loss': '2.755', 'grad_norm': '0.8229', 'learning_rate': '1.163e-05', 'epoch': '0.96'}
{'loss': '2.946', 'grad_norm': '1.146', 'learning_rate': '1.085e-05', 'epoch': '0.9638'}
{'loss': '2.93', 'grad_norm': '0.7987', 'learning_rate': '1.008e-05', 'epoch': '0.9676'}
{'loss': '2.748', 'grad_norm': '0.8647', 'learning_rate': '9.302e-06', 'epoch': '0.9714'}
{'loss': '2.841', 'grad_norm': '1.616', 'learning_rate': '8.527e-06', 'epoch': '0.9752'}
{'loss': '2.776', 'grad_norm': '0.8216', 'learning_rate': '7.752e-06', 'epoch': '0.979'}
{'loss': '3.025', 'grad_norm': '1.04', 'learning_rate': '6.977e-06', 'epoch': '0.9829'}
{'loss': '2.853', 'grad_norm': '0.8709', 'learning_rate': '6.202e-06', 'epoch': '0.9867'}
{'loss': '2.987', 'grad_norm': '1.038', 'learning_rate': '5.426e-06', 'epoch': '0.9905'}
{'eval_loss': '2.755', 'eval_runtime': '50.23', 'eval_samples_per_second': '10.47', 'eval_steps_per_second': '2.628', 'epoch': '0.9905'}
{'loss': '2.815', 'grad_norm': '0.7288', 'learning_rate': '4.651e-06', 'epoch': '0.9943'}
{'loss': '2.502', 'grad_norm': '0.9358', 'learning_rate': '3.876e-06', 'epoch': '0.9981'}
{'loss': '2.571', 'grad_norm': '1.58', 'learning_rate': '3.101e-06', 'epoch': '1'}
{'eval_loss': '2.755', 'eval_runtime': '50.26', 'eval_samples_per_second': '10.47', 'eval_steps_per_second': '2.626', 'epoch': '1'}
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████| 263/263 [36:11<00:00,  9.97s/itUnsloth: Restored added_tokens_decoder metadata in outputs-full/checkpoint-263/tokenizer_config.json.
{'train_runtime': '2173', 'train_samples_per_second': '0.966', 'train_steps_per_second': '0.121', 'train_loss': '2.93', 'epoch': '1'}
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████| 263/263 [36:12<00:00,  8.26s/it]
